bibnumber,name,gender,age,genderdiv,division,overallplace,pace,split5k,split10k,split20k,split25k,split30k,split35k,split40k,splithalf,officialtime,city,state,country,ctz
14611,"Witmond, Bart",M,50,10336,1506,16161,8.9,24.3,49.4,102.8,130.93,160.2,190.9,220.22,108.63,233.23,Haarlem,,NED,
11514,"Stotler, Chris",M,46,10337,1946,16162,8.9,24.98,50.92,104.22,132.15,161.28,191,220.53,110.28,233.25,Leesburg,VA,USA,
18517,"Brooks, Lindsay A.",F,48,5826,822,16163,8.9,25.65,51.82,104.73,131.52,160.55,190.57,220.15,110.53,233.25,Toronto,ON,CAN,
13523,"Stotler, Tonya N",F,47,5827,823,16164,8.9,24.98,50.92,104.23,132.17,161.28,191.02,220.55,110.28,233.25,Leesburg,VA,USA,
30361,"Teren, Rob",M,44,10338,1762,16165,8.9,24.72,48.95,100.93,128.78,159.23,190.18,221.48,106.48,233.25,University Heights,OH,USA,
5174,"Williamson, John P.",M,44,10339,1763,16166,8.9,21.2,42.23,84.02,105.8,130.2,161.33,212.28,88.62,233.25,Cary,NC,USA,
30053,"Graham, Matthew R.",M,34,10340,3911,16167,8.9,25.88,51.83,106.02,133.65,162.9,192.1,221.1,111.87,233.25,Halifax,MA,USA,
11939,"Fraser, Alexander P",M,45,10341,1947,16168,8.9,24.05,49.5,101.82,129,158.3,188.4,219.5,107.67,233.25,Shorewood,WI,USA,
21146,"Leblanc, Suzanne L.",F,50,5828,393,16169,8.9,26.13,51.88,104.37,131.53,160.93,191.35,220.73,110.13,233.25,Terrace,BC,CAN,
16878,"Guerrieri, Massimo",M,57,10342,857,16170,8.9,24.85,50.32,104.9,132.48,161.63,191.07,220.02,110.72,233.25,Citta Della Pieve,,ITA,
13801,"Donegan, Kerry",F,33,5829,3473,16171,8.9,23.27,46.75,95.83,125.85,155.62,187.95,220.15,101.28,233.25,New York,NY,USA,
18617,"Wright, Julienne",F,37,5830,3474,16172,8.9,25.53,50.88,101.32,127.48,156.42,189.23,219.87,106.92,233.27,Fletcher,NC,USA,
17608,"Willson, Courtney C",F,39,5831,3475,16173,8.9,24.77,50.2,102.02,128.13,157.05,188.6,220.08,107.57,233.27,Port Orchard,WA,USA,
19717,"Sandelin, Katharine A.",F,43,5832,1033,16174,8.9,25.73,50.8,102.45,128.73,156.87,187.4,218.4,108.07,233.27,Saint Augustine,FL,USA,
10989,"Gladu, Matthew",M,35,10343,3912,16175,8.9,24.32,49.13,100.82,127.75,159.18,188.95,219.63,106.58,233.27,Holyoke,MA,USA,
15930,"Ford, Joanne",F,48,5833,824,16176,8.9,26.72,52.4,106.12,132.47,159.68,188.63,219.63,111.83,233.27,Powell,OH,USA,
13318,"England, Larry L.",M,51,10344,1507,16177,8.9,26.72,52.4,106.12,132.47,159.68,188.63,219.63,111.83,233.27,Powell,OH,USA,
25875,"Glazer, Nicole L.",F,36,5834,3476,16178,8.9,26.3,53.25,106.62,133.18,160.32,187.8,220.1,112.43,233.27,Boston,MA,USA,
21806,"Sardas, Isabela",F,51,5835,394,16179,8.9,27.18,54.62,109.73,137.08,164.93,192.95,220.7,115.8,233.27,Mequon,WI,USA,
16566,"Latourelle, Amy",F,36,5836,3477,16180,8.9,24.98,50.42,104.9,132.37,161.23,191.33,220.45,110.62,233.27,Wyomissing,PA,USA,
9727,"Selby, Steven Sr.",M,49,10345,1948,16181,8.9,22.68,45.43,93,117.03,146.95,184.13,221.12,98.12,233.28,Bridgwater,,GBR,
23332,"Ung, Mardiny C",F,47,5837,825,16182,8.9,25.48,51.7,105.18,132.63,161.15,190.62,220.37,111,233.28,Elizabethtown,PA,USA,
22635,"Cary, Nora",F,59,5838,88,16183,8.9,27.83,55.65,110.8,138.17,165.78,193.35,220.53,116.77,233.28,Morristown,NJ,USA,
32752,"Charles, Leslie A",F,42,5839,1034,16184,8.9,27.93,54.62,108.47,135.82,164.05,193,221.18,114.35,233.28,Chesterfield,MA,USA,
15687,"Fishlow, Jon",M,55,10346,858,16185,8.9,24.83,49.72,100.3,129.83,157.72,189.05,220.37,105.97,233.28,Melville,NY,USA,
14079,"Weiter, Kathleen M",F,30,5840,3478,16186,8.9,25.65,52.58,105.77,132.73,160.95,191.63,220.72,111.63,233.3,Louisville,KY,USA,
8655,"Lefrancois, Yves",M,43,10347,1764,16187,8.9,25.52,50.75,103.1,130.18,158.83,188.7,219.52,108.8,233.32,Quebec,QC,CAN,
14003,"Snyder, Megan F.",F,19,5841,3479,16188,8.9,24.83,50.23,102.72,130.58,159.92,191.17,220.42,108.5,233.32,Annapolis,MD,USA,
21978,"Snell, Nona",F,49,5842,826,16189,8.9,26.33,52.6,105.48,132.28,160.33,190.12,220.08,111.27,233.32,Olympia,WA,USA,
22499,"D'Addio, Susan D.",F,48,5843,827,16190,8.9,25.05,49.98,100.9,126.65,154.52,185.02,218.38,106.43,233.32,Fredericksburg,VA,USA,
5685,"Miller, Glen",M,41,10348,1765,16191,8.9,21.77,43.48,88.1,112.02,142,177.55,215.7,93.05,233.32,Wyndmoor,PA,USA,
27800,"Cox, Virginia H.",F,47,5844,828,16192,8.9,25.32,51.98,105.85,133.47,162.13,191.45,220.57,111.58,233.32,Belmont,MA,USA,
22496,"Wilkinson, Jack",M,63,10349,293,16193,8.9,27.12,54.52,108.53,135.2,162.93,190.88,219.62,114.32,233.32,Calgary,AB,CAN,
21381,"Lawson, George A Jr.",M,65,10350,55,16194,8.9,26.65,53.58,107.45,134.62,162.47,190.95,220.33,113.33,233.33,Aiken,SC,USA,
12988,"McCluskey, Bob J.",M,49,10351,1949,16195,8.9,23.95,48.02,95.93,121.05,150.28,182.87,219.57,101.27,233.33,Godfrey,IL,USA,
21636,"Cloutier, Laura L",F,50,5845,395,16196,8.9,26.25,52.68,105.73,132.57,160.38,190.78,220.1,111.53,233.33,Irvine,CA,USA,
21888,"Iorillo, Lisa",F,50,5846,396,16197,8.9,25.95,52.25,106.15,134.12,162.58,192.17,221.23,112.08,233.35,Sayreville,NJ,USA,
16386,"Graham, Robert",M,58,10352,859,16198,8.92,25.08,50.6,102.55,129.87,158.77,190.03,219.48,108.23,233.35,Hanover,IN,USA,
28349,"Karmacharya, Santosh",M,38,10353,3913,16199,8.92,27,51.88,101.93,128.25,161.18,191.33,220.72,107.32,233.35,Waltham,MA,USA,
21422,"Boily, Anik",F,47,5847,829,16200,8.92,24.7,50.43,103.12,129.42,157.52,187.72,219,108.8,233.37,La Baie,QC,CAN,
6416,"Wilhelm, Marcus",M,44,10354,1766,16201,8.92,23.08,47.92,97.58,125.67,156.63,189.13,221.1,103.15,233.37,Cambridge,MA,USA,
12680,"Potter Melendez, Lloyd H.",M,48,10355,1950,16202,8.92,24.07,52.02,104.35,131.3,159.28,191.1,219.27,110.13,233.37,Miami Beach,FL,USA,
22110,"Hauss, Carol T",F,48,5848,830,16203,8.92,25.8,51.4,104.17,131.07,160.52,191.12,220.87,109.77,233.37,Salisbury,NC,USA,
13442,"Wells, Rich A.",M,53,10356,1508,16204,8.92,24.13,48.15,97.78,125.42,155.22,186.02,218.13,103.3,233.37,Midland,MI,USA,
23409,"Clayton, Monica",F,46,5849,831,16205,8.92,26.53,53.18,105.85,132.97,161.9,191.5,220.7,111.65,233.37,Kerrville,TX,USA,
30550,"Orr, Danny J.",M,35,10357,3914,16206,8.92,24.8,50.65,103.62,130.87,159.75,189.15,219.47,109.3,233.37,Charlestown,MA,USA,
16771,"Smelser, Marie",F,44,5850,1035,16207,8.92,23.6,47.7,98.33,124.78,155.65,187.6,219.85,103.97,233.37,Armonk,NY,USA,
11346,"Bridges, Robert W.",M,52,10358,1509,16208,8.92,24.15,47.85,94.85,119.52,146.63,179.8,215.93,100.1,233.37,Onsted,MI,USA,
11811,"Rodo, Stefano",M,51,10359,1510,16209,8.92,23.88,48.97,102.15,128.93,156.87,186.63,218.53,107.97,233.37,Rome,,ITA,
8801,"Turgeon, Jeanne-Evelyne E",F,39,5851,3480,16210,8.92,24.13,48.4,101.17,129.37,158.25,188.78,220.1,107.12,233.38,Terrebonne,QC,CAN,
11783,"Bode, Paul H",M,49,10360,1951,16211,8.92,25.22,50.93,102.85,129.88,158.17,188.4,219.07,108.87,233.38,Smithtown,NY,USA,
12167,"Benninghoff, Keith",M,49,10361,1952,16212,8.92,24.25,48.45,98.23,124.28,152.52,186.18,220.25,103.58,233.38,Allentown,PA,USA,
16072,"Lewis, Erin C.",F,29,5852,3481,16213,8.92,25.63,51.18,102.35,127.88,155.5,186.78,220.03,107.93,233.38,St. Louis,MO,USA,
23155,"Jacobson, Gwen R.",F,55,5853,89,16214,8.92,26.25,52.52,105.43,135.08,165.12,193.1,221,111.22,233.38,Rochester,MN,USA,
23967,"Cass, Mary",F,52,5854,397,16215,8.92,26.78,52.4,104.67,131.3,159.72,188.92,220.82,110.33,233.38,Westport,MA,USA,
35083,"Meinelt, Sarah",F,22,5855,3482,16216,8.92,25.85,51.17,103.48,130.97,159.38,190.97,220.43,109.12,233.4,Charlestown,MA,USA,
16521,"White, Christine M.",F,39,5856,3483,16217,8.92,24.87,49.58,100.9,127.22,154.62,187.18,220.23,106.58,233.42,Glen Ellyn,IL,USA,
28001,"Arena, Anastasia E.",F,20,5857,3484,16218,8.92,22.52,45.23,93.87,119.65,148.75,181.07,216.93,99.28,233.42,Brighton,MA,USA,
31126,"Kozin, Elliott D.",M,31,10362,3915,16219,8.92,26.38,52.05,104.4,131.32,160.03,189.97,220.23,110.08,233.42,Boston,MA,USA,
34991,"Richard, Carinne",F,39,5858,3485,16220,8.92,25.35,50.22,101.83,129.08,158.78,190.03,220.63,107.62,233.42,Paris,,FRA,
17283,"Pearson, Eve",F,35,5859,3486,16221,8.92,26.05,52.95,107.28,134.52,162.13,191.22,221.15,113.13,233.42,Ft. Worth,TX,USA,
23766,"Gusman, Theresa",F,54,5860,398,16222,8.92,26.33,52.47,105.38,132.52,161.08,191.07,220.45,111.22,233.42,New York,NY,USA,
18225,"Smith, Katherine",F,45,5861,832,16223,8.92,25.38,50.45,102.05,129.18,157.88,189.48,219.55,107.7,233.43,Ridgefield,CT,USA,
35092,"Van Zundert, Gerd",M,48,10363,1953,16224,8.92,25.95,52.12,105.22,131.23,159.4,189.55,220.05,110.72,233.43,Westmalle,,BEL,
845,"Henderson, Stuart",M,40,10364,1767,16225,8.92,19.08,38.83,82.38,106.23,134.68,170.62,214.27,87.18,233.43,Chippenham,,GBR,
19508,"Jakob, Cheryl",F,45,5862,833,16226,8.92,25.27,50.58,103.2,130.95,159.92,189.93,220.53,108.95,233.45,Chicago,IL,USA,
22030,"Drummond, Eliza E",F,53,5863,399,16227,8.92,26.45,53.52,107.15,134.05,161.88,191.67,220.57,112.98,233.45,Eugene,OR,USA,
20418,"Sorge, Dana S",F,41,5864,1036,16228,8.92,25.88,52.37,106.77,133.87,162.5,192.18,221.17,112.72,233.45,Lakewood,OH,USA,
17853,"Hobbs, Rochelle L",F,32,5865,3487,16229,8.92,23.57,47.82,103.87,132.57,161.42,190.22,220.68,109.72,233.45,Houston,TX,USA,
20958,"Johnson, Debra A",F,55,5866,90,16230,8.92,25.57,51.42,104.12,131.35,160.4,191.02,220.85,109.87,233.45,Georgetown,MA,USA,
25460,"Nachlas, Francine",F,47,5867,834,16231,8.92,26.9,53.47,107.73,135.6,164.1,192.95,221.08,113.63,233.45,Boca Raton,FL,USA,
17569,"Myatt, Daniel A.",M,60,10365,294,16232,8.92,24.95,49.47,98.62,123.53,150.22,181.2,216.78,104.12,233.45,Farmington Hills,MI,USA,
20360,"Turkelson, Carman L",F,42,5868,1037,16233,8.92,24.82,50.13,103.48,131.55,161.52,191.95,220.83,109.45,233.47,Lapeer,MI,USA,
20942,"Magana, Cristina",F,48,5869,835,16234,8.92,27.62,54.57,108.08,134.65,162.17,190.92,220.37,113.82,233.47,Austin,TX,USA,
9595,"Diehl-Jones, William L.",M,54,10366,1511,16235,8.92,27.57,53.88,106.73,133.55,161.52,190.8,220.13,112.63,233.47,Winnipeg,MB,CAN,
14244,"Bravo-Rios, Luz D",F,29,5870,3488,16236,8.92,24.1,48.68,101.15,129.7,159.38,191.2,221.08,107.08,233.47,Mcfarland,CA,USA,
26166,"O'Brien, Robert E.",M,28,10367,3916,16237,8.92,26.32,52.48,104.82,130.9,158.82,187.22,219.62,110.45,233.47,Somerville,MA,USA,
28142,"Donnelly, Kevin",M,51,10368,1512,16238,8.92,27.58,53.9,106.75,133.55,161.53,190.82,220.13,112.63,233.47,Winnipeg,MB,CAN,
30984,"Torpy, Joseph R.",M,44,10369,1768,16239,8.92,26.52,51.42,101.48,127.77,156.28,188.15,219.6,106.92,233.48,Boston,MA,USA,
21489,"Leamy, Patrick M.",M,64,10370,295,16240,8.92,26.6,52.92,106.17,133.45,162,191.2,220.02,111.98,233.48,Dublin,,IRL,
14481,"Mulligan, Randall",M,51,10371,1513,16241,8.92,24.62,49.62,100.57,126.63,154.23,184.98,219.03,106.17,233.48,Woodbury,MN,USA,
17949,"Teboul, Frederic",M,57,10372,860,16242,8.92,24.23,48.6,98.68,124.77,153.52,185.38,218.57,104.3,233.48,Brive,,FRA,
30449,"Schlitt, Meghan A.",F,24,5871,3489,16243,8.92,27.4,54.35,116.82,143.1,169.3,195.73,222.12,123.52,233.48,Philadelphia,PA,USA,
12761,"Goode, Johnny W",M,67,10373,56,16244,8.92,23.8,47.78,97.07,123.15,151.32,183.22,217.38,102.62,233.5,Birmingham,AL,USA,
30983,"Suckerman, Warren",M,41,10374,1769,16245,8.92,24.52,48.12,95.83,124.43,156.22,189.45,220.87,100.93,233.5,Needham,MA,USA,
14176,"Kennedy, Richard",M,54,10375,1514,16246,8.92,24.52,50.57,103.4,129.85,157.63,187.52,219.17,109.12,233.5,Cohasset,MA,USA,
22460,"Hahn, Judy A",F,53,5872,400,16247,8.92,26.2,52.3,105.03,132.2,160.42,190.17,220.05,110.92,233.5,Old Hickory,TN,USA,
17891,"Scott, Stefania C",F,44,5873,1038,16248,8.92,23.2,47.33,100.62,128.67,157.73,189.13,220.6,106.5,233.5,Highlands Ranch,CO,USA,
20698,"Mclauchlan, Douglas",M,66,10376,57,16249,8.92,25.97,51.07,101.82,127.77,155.12,185.5,218.35,107.43,233.5,Toronto,ON,CAN,
30658,"Fenton, Jessica L.",F,22,5874,3490,16250,8.92,25.32,50.03,99.85,124.95,153.72,185.47,219.32,105.25,233.5,Medford,MA,USA,
23812,"Rauch, Elizabeth",F,51,5875,401,16251,8.92,27,53.85,108.23,135.5,164.45,193.52,221.52,114.12,233.5,Chicago,IL,USA,
19111,"Balistreri, Amie L",F,39,5876,3491,16252,8.92,25.27,49.82,100.47,126.73,154.2,186.83,220.35,106.07,233.5,Manorville,NY,USA,
11975,"Streetman, Dan",M,46,10377,1954,16253,8.92,26.35,52.83,109.1,139.62,169.88,195.12,220.42,115.13,233.52,El Dorado Hills,CA,USA,
12215,"Caballero Gomez, Alberto A.",M,49,10378,1955,16254,8.92,24.33,48.95,98.1,123.2,152.83,186.25,218.93,103.5,233.52,"Monterrey, N. L.",,MEX,
18346,"Baurer, James A.",M,57,10379,861,16255,8.92,24.53,48.72,100.12,127.78,156.85,187.9,221.5,105.67,233.52,Lakewood,WA,USA,
18957,"Smolik, Peter J.",M,57,10380,862,16256,8.92,24.95,49.97,101.33,127.95,156.43,186.95,218.35,106.95,233.52,Canmore,AB,CAN,
15940,"Park, Hyunsoo",M,58,10381,863,16257,8.92,24.73,50.32,104.08,130.85,159.48,189.38,220.88,109.85,233.53,Queens,NY,USA,
20945,"Hingle, Laura",F,49,5877,836,16258,8.92,25.4,51.22,104.95,132.15,161.62,191.5,220.6,110.77,233.53,Montville,NJ,USA,
7633,"Darling, Johnny E.",M,44,10382,1770,16259,8.92,22.25,44.53,89.98,114.27,143.57,175.75,218.58,95.03,233.53,Copenhagen S,,DEN,
21232,"Kim, Allegra N",F,46,5878,837,16260,8.92,27.1,54,108.97,136.93,165.7,194.45,221.7,114.93,233.53,Oakland,CA,USA,
19223,"Navarrete Guzman, Martha Eugenia",F,40,5879,1039,16261,8.92,25,49.85,100.37,126.73,155.8,187.65,219.62,105.93,233.53,Puebla,,MEX,
18724,"Molloy, Christine",F,42,5880,1040,16262,8.92,23.93,48.98,101.68,129,158.8,190.58,221.13,107.57,233.53,Chambersburg,PA,USA,
23016,"Dale, Rich S",M,60,10383,296,16263,8.92,26.87,53.92,107.6,134.33,161.6,189.57,220.25,113.37,233.53,Portland,OR,USA,
18193,"Mahoney, Shelly K.",F,45,5881,838,16264,8.92,24.25,49.02,99.95,126.35,156.48,189.4,220.73,105.47,233.53,Cohasset,MA,USA,
29479,"Gordon, Brett A.",M,45,10384,1956,16265,8.92,27.27,54.4,108.57,135.75,164.82,192.13,220.7,114.48,233.53,West Newton,MA,USA,
14128,"Sotelo, Joe",M,53,10385,1515,16266,8.92,24.13,47.62,95.35,120.22,149.08,181.38,218.22,100.62,233.53,Anaheim,CA,USA,
19231,"Weber, Amie N.",F,36,5882,3492,16267,8.92,24.43,49.48,101.07,128.08,156.83,189.47,221.25,106.8,233.53,Rockville Centre,NY,USA,
13441,"Dorner, Timothy J",M,54,10386,1516,16268,8.92,22.6,45.62,95.5,122.63,151.4,183.35,219.25,101.03,233.53,Glenview,IL,USA,
17042,"Machnicki, Allison L.",F,24,5883,3493,16269,8.92,24.28,48.58,99.78,127.57,155.75,186.58,220.22,105.52,233.55,State College,PA,USA,
13502,"Myers, Kelli C",F,36,5884,3494,16270,8.92,24.4,49.87,101.9,129.17,159.15,189.58,220.23,107.73,233.55,Newton,UT,USA,
29081,"Gomez, Jerry",M,47,10387,1957,16271,8.92,26.45,51.88,104.53,131.22,160.35,190.47,220.52,110.33,233.55,Hopkinton,MA,USA,
10364,"Kukac, Glenn W",M,51,10388,1517,16272,8.92,23,46.2,93.48,118.05,150.93,182.53,216.93,98.72,233.55,Phoenix,AZ,USA,
17950,"Noe, Rebecca M.",F,39,5885,3495,16273,8.92,26.22,52.4,104.77,131.23,161.92,190.88,220.57,110.45,233.55,Derry,NH,USA,
15698,"Cornell, Ashleigh",F,29,5886,3496,16274,8.92,25.95,52.27,106,133.03,161.43,190.78,220.82,111.75,233.57,Taunton,MA,USA,
21163,"Linder, Heidi K",F,44,5887,1041,16275,8.92,26.53,53.18,106.95,134.23,162.75,191.92,220.72,112.85,233.57,Shakopee,MN,USA,
31828,"Reilly, Andrew M.",M,28,10389,3917,16276,8.92,24.17,48.02,99.82,127.27,159.08,190.3,219.07,105.47,233.57,San Diego,CA,USA,
15346,"MacDonald, Jill M.",F,47,5888,839,16277,8.92,24.27,49.18,100.5,127.23,158.88,189.43,219.92,106.02,233.57,Halifax,NS,CAN,
17039,"Begg, Joanne",F,31,5889,3497,16278,8.92,24.62,49.88,103.12,131.02,160.92,191.47,220.92,108.93,233.57,Long Beach,MS,USA,
16647,"Wencley, Trisha E.",F,41,5890,1042,16279,8.92,24.5,49,99.2,126.68,155.77,186.68,219.02,104.92,233.57,Rochester Hills,MI,USA,
20944,"Newman, Sharon",F,43,5891,1043,16280,8.92,25.67,51.35,103.17,129.43,157.37,188.07,219.52,108.77,233.57,Midrand,,RSA,
21876,"Chuu, Wenmin",M,60,10390,297,16281,8.92,26.32,53.63,110.2,137.5,165.38,193.4,221.38,115.95,233.58,Monmouth Jct,NJ,USA,
21920,"Jones, Chris",F,51,5892,402,16282,8.92,27.8,54.75,110.12,137.17,165.08,193.48,221.57,115.9,233.58,New Richmond,OH,USA,
20143,"Pearson Mcdonald, Susan F.",F,49,5893,840,16283,8.92,26.08,51.7,104.92,133.02,163.27,192.3,221,110.7,233.58,Hertfordshire,,GBR,
18035,"Amenta, Anthony",M,59,10391,864,16284,8.92,26.4,52.9,106.15,133.15,161.97,193.65,222.07,111.77,233.58,West Hartford,CT,USA,
13068,"Gothberg, Todd M",M,49,10392,1958,16285,8.92,24.08,48.47,100.67,128.47,158.15,188.98,219.53,106.63,233.58,Mcknightstown,PA,USA,
34252,"Rush, Terry",M,49,10393,1959,16286,8.92,27.95,55.13,109.85,136.37,164.47,192.78,221.37,115.5,233.58,Plymouth,MI,USA,
21940,"Flam, Patricia",F,45,5894,841,16287,8.92,26.53,53.17,105.98,132.7,161.07,190.82,220.1,111.7,233.58,Providence,RI,USA,
20977,"Lavoie, Cyr",M,63,10394,298,16288,8.92,26.27,52.37,104.92,131.43,159.88,191.7,220.65,110.7,233.58,Gatineau,QC,CAN,
12885,"Aittama, Craig",M,51,10395,1518,16289,8.92,23.52,47.57,97.32,125.58,157.97,188.42,219.78,102.97,233.6,Plover,WI,USA,
16443,"San Antonio, Michelle",F,42,5895,1044,16290,8.92,26.9,53.73,108.1,136.18,164.33,193.32,221.65,113.97,233.6,Wakefield,RI,USA,
2817,"Lempe, Thomas",M,40,10396,1771,16291,8.92,20.57,42.12,92.05,120.28,150.62,182.85,218.53,97.8,233.6,Seeblick Ot Hohennauen,,GER,
17197,"Jackson, Christine A.",F,44,5896,1045,16292,8.92,25.47,51.23,104.67,132,160.7,190.17,220,110.6,233.6,Jacksonville,FL,USA,
19308,"Viera, Leanne",F,45,5897,842,16293,8.92,26.1,53.05,106.85,134,163.53,192.47,221.13,112.62,233.6,Washington,DC,USA,
32654,"Kennedy, Ronald J",M,53,10397,1519,16294,8.92,27.6,53.7,108.02,135.63,163.82,191.9,221.18,114,233.62,Boston,MA,USA,
25396,"Heney, Jason S.",M,35,10398,3918,16295,8.92,27.03,51.67,102.1,127.5,154.5,186.83,220.65,107.55,233.62,Cameron,NC,USA,
26164,"Durbin, Chris A.",M,48,10399,1960,16296,8.92,27.97,54.93,109.07,136.5,164.77,193.22,221.35,115.07,233.62,Newton,MA,USA,
30126,"Brosnahan, John A.",M,47,10400,1961,16297,8.92,26.92,53.22,103.35,128.23,154.93,190,221.05,108.75,233.62,Haymarket,VA,USA,
7007,"Hughes, Richard E",M,49,10401,1962,16298,8.92,23.25,46.28,98.05,124.63,153.4,183.88,218.57,103.77,233.62,Worthington,OH,USA,
17562,"Keppel, Morgan E.",F,22,5898,3498,16299,8.92,24.4,49.53,100.9,127.87,156.45,187.32,219.3,106.6,233.62,Land O' Lakes,FL,USA,
20904,"Bowker, Beth E.",F,50,5899,403,16300,8.92,25.52,51.2,104.57,131.6,160.32,190.67,220.2,110.4,233.62,Valparaiso,IN,USA,
19179,"Rossouw, Julie A.",F,50,5900,404,16301,8.92,26.58,53.03,107.03,134.92,162.8,191.33,220.53,112.97,233.62,Dubai,,UAE,GBR
9629,"Pellow, Michael",M,51,10402,1520,16302,8.92,25.8,51.6,105.42,132.5,160.98,190.27,220.47,111.23,233.62,Boulder,CO,USA,
19349,"Hill, Kenny E",M,64,10403,299,16303,8.92,26.58,53.27,107.62,134.67,162.2,191.58,221,113.53,233.62,Austin,TX,USA,
17474,"Ham, Mallory",M,57,10404,865,16304,8.92,25.37,50.37,101.18,127.48,155.83,187.1,220.23,106.92,233.63,Simi Valley,CA,USA,
20669,"Raymond, Wendy M",F,42,5901,1046,16305,8.92,25.88,51.78,104.97,132.55,161.32,190.65,220.25,110.83,233.63,Westlake Village,CA,USA,
17384,"Freeze, Timothy W",M,61,10405,300,16306,8.92,25.92,52,106.25,134.25,163.42,193.22,221.73,112.2,233.63,Waynesboro,VA,USA,
17687,"Marques, Ashley H",F,33,5902,3499,16307,8.92,23.55,47.33,97.85,124.57,154.5,188.02,221.25,103.43,233.65,Charlotte,NC,USA,
22064,"Myers, Ken",M,60,10406,301,16308,8.92,26.42,52.57,104.93,131.22,159.5,188.87,219.47,110.57,233.65,San Diego,CA,USA,
21588,"Ioka, Hiroe",F,57,5903,91,16309,8.92,27.08,54.42,109.72,137.63,166.45,195.05,221.9,115.75,233.65,Ehime-Ken,,JPN,
14723,"Ryan, Karoline H.",F,48,5904,843,16310,8.92,26.85,53.37,106.37,133.22,161.17,190.63,219.48,112.15,233.65,Lincoln,MA,USA,
27184,"Debonis, Laura A.",F,44,5905,1047,16311,8.92,26.02,52.98,108.47,136.3,164.65,193.3,221.57,114.37,233.67,Boston,MA,USA,
35750,"White, Gary",M,50,10407,1521,16312,8.92,28.18,57.85,111.42,138.03,164.85,192.6,220.68,117.23,233.67,East Sandwich,MA,USA,
21412,"Lau, Vickie C",F,51,5906,405,16313,8.92,27.4,54.77,109.87,137.18,164.85,193.42,221.15,115.95,233.67,San Jose,CA,USA,CAN
16906,"Reuter, Emily",F,35,5907,3500,16314,8.92,23.82,48.77,99.45,126.67,155.48,186.37,219.47,105.03,233.68,Chicago,IL,USA,
34807,"Arnold, Rainer",M,50,10408,1522,16315,8.92,23.93,48.28,98.5,125.03,154.67,186.8,219.07,104.08,233.68,Beucha,,GER,
20929,"Choiniere, Michelle",F,47,5908,844,16316,8.92,24.87,50.45,104.35,132.38,161.37,191.5,221.48,110.3,233.68,Jericho,VT,USA,
23832,"Haddon, Kate",F,52,5909,406,16317,8.92,26.87,54.22,108.67,135.98,163.98,192.45,221.07,114.58,233.7,Scottsdale,AZ,USA,
13363,"Bartels-Macias, Nicolle M.",F,28,5910,3501,16318,8.92,24.85,49.87,101.95,128.77,157.78,189.2,219.83,107.6,233.7,Chicago,IL,USA,
24206,"Haas, Susan J",F,54,5911,407,16319,8.92,27.32,53.45,106.3,133.38,162.05,191.92,220.32,112.18,233.7,Hopewell,OH,USA,
16798,"Sullivan, Kimberly K",F,34,5912,3502,16320,8.92,25.28,51.2,104.95,132.48,161.15,191.18,220.67,110.85,233.7,Cary,NC,USA,
20648,"Mingo, Mal A.",M,60,10409,302,16321,8.92,26.37,52.33,105.62,133.62,161.9,191.42,220.98,111.58,233.7,Saint Paul,MN,USA,
14596,"Phelps, Lindsay",F,34,5913,3503,16322,8.92,25.08,50.35,102.33,129.97,159.35,189.78,220.78,108,233.72,North Vancouver,BC,CAN,
20131,"Murphy, Fiona C",F,48,5914,845,16323,8.92,27.07,54,107.9,135.27,163.47,192.95,221.42,113.83,233.72,Walpole,MA,USA,
22068,"Nielson, Katherine J.",F,48,5915,846,16324,8.92,27.82,55.6,110.33,137.38,165.12,193.83,221.55,116.27,233.72,San Antonio,TX,USA,
8068,"Carson, Edward",M,40,10410,1772,16325,8.92,23.37,46.78,93.98,121.38,149.62,184.5,218.88,99.17,233.72,North Andover,MA,USA,
11618,"Swen, Craig",M,45,10411,1963,16326,8.92,24.18,48.68,97.1,123.15,151.58,182.83,219.42,102.58,233.73,Moon Twp,PA,USA,
18284,"Buckley, Claire M",F,38,5916,3504,16327,8.92,23.18,47.53,100.47,127.55,156.23,188.1,220.03,106.22,233.73,London,,GBR,IRL
15671,"Good, Megan E",F,21,5917,3505,16328,8.92,24.52,49.53,105.8,133.23,162.2,191.6,220.98,111.73,233.73,Alexandria,KY,USA,
13636,"Schmidt, Kristina",F,45,5918,847,16329,8.92,23.48,48.65,101.02,128.27,157.17,187.58,220.2,106.77,233.73,Hamburg,,GER,
12779,"Oster, John G",M,49,10412,1964,16330,8.92,25.12,50.03,103.48,131.85,162.15,192.13,220.72,109.2,233.75,Evergreen,CO,USA,
15790,"Leibfporth, Megan",F,23,5919,3506,16331,8.92,24.63,49.2,99.95,128.48,158.95,189.43,220.37,105.72,233.75,Iowa City,IA,USA,
21723,"Conrad, Laurie",F,45,5920,848,16332,8.92,25.42,50.5,102,128.7,157.45,187.97,219.63,107.75,233.75,Atlanta,GA,USA,
24127,"Sabra, Steve J.",M,58,10413,866,16333,8.92,27.2,54.05,107.67,135.12,163.48,192.83,220.9,113.75,233.77,Omaha,NE,USA,
13531,"Scott, Rick",M,60,10414,303,16334,8.92,24.1,48.23,98.22,124.65,153.42,185.2,219.97,103.92,233.77,Pelham,MA,USA,
